skill,intent,example
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,In welke maand leven we?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Zitten we in mei?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Welke maand is het vandaag?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Welke maand is het deze maand?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Zijn we al in mei?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Kun je bevestigen of we al in mei zijn?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Hoe heet deze maand?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Bij welke maand hoort de datum van vandaag?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Zitten we in januari of welke maand?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Weet je in welke maand we zitten?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Weet je welke maand het nu is?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Kun je me de huidige maand vertellen?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Welke maand is het nu?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Welke maand is het nu volgens de kalender aan de muur in de keuken?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Zitten we nu in april of mei?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,"Herinner me alsjeblieft in welke maand we zitten, ik ben erg in de war."
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,Kan je me de naam van de maand vertellen waarin we nu zitten?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Hoe laat is het?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Tijd?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Wat zegt de klok?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Is het al twaalf uur?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Zeg me de tijd
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Kun je me alsjeblieft de tijd zeggen?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Kan je me de tijd zeggen?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Weet je hoe laat het is?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Wat is de exacte tijd in New York?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Is het vroeg?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Weet je of het al laat is?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Is het al vier uur of hoe laat is het?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Op welk moment van de dag zitten we?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,"Kan je me het uur, de minuut en de seconde zeggen?"
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Wat zegt de klok nu?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Wat staat er op jouw klok?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Kan je me vertellen hoe laat het nu precies is?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Is het nu tien uur of elf uur?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Is het te laat om nu koffie te drinken of kan ik straks nog slapen?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,Kan je me alsjeblieft de tijd zeggen?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Hoe laat is het over twintig minuten?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Hoe laat is het over twee uur?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Is het over vijf minuten vier uur?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Hoe laat is het over een uur en drie kwartier?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Hoe laat is het over vierendertig minuten?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Kan je me zeggen hoe laat het is als er zes uur en achttien minuten voorbij zijn?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,"Als er anderhalf uur voorbij is, hoe laat is het dan?"
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Hoe laat is het over een kwartier?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Kan je berekenen hoe laat het is over twee uur en tien minuten?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Hoeveel minuten gaan er voorbij tussen vijf uur en twee uur later?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,"Als het over twee minuten drie uur is, hoe laat is het dan over tien minuten?"
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Hoe laat is het om half vier?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Weet je hoe laat de klok aangeeft over twintig minuten?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Hoe laat is het over drie uur?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Hoe laat staat de klok over dertig minuten?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Als ik nu drie kwartier ga studeren, hoe laat is het dan?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Over twintig minuten is het tien over half tien?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,Over twintig minuten is het kwart voor tien?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,"Hoe laat is het over een uur, hoe lang nog tot elf uur ‘s avonds?"
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Welke dag van de week is het?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Is het vandaag maandag?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Is het vandaag...?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Zeg me de dag van de week
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Is het vandaag dinsdag of woensdag?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Op welke dag van de week zitten we?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Welke dag is het vandaag?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Is het vandaag een feestdag?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Op welke dag van de week zitten we?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Is het vandaag zaterdag of zondag?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Is het dinsdag vandaag?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Is het vandaag de kastanjefeestdag?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Weet je welke dag van de week het vandaag is?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Zeg me de huidige dag van de week
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,"Als het gisteren dinsdag was, welke dag van de week is het dan vandaag?"
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Kun je me de huidige dag van de week zeggen?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Vertel me op welke dag van de week we zitten
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,"Als je me zegt dat het maandag is, ga ik weer naar bed en word ik pas vrijdag wakker"
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Welke dag van de week is het vandaag?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Als ik op de kalender kijk, welke dag van de week is het dan vandaag?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,Alsjeblieft, zou u me kunnen vertellen welke dag van de week het is?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,Weet je in welk jaar we zitten?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,In welk jaar leven we?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,Is het 2025?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,Welk jaar is het?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,Zitten we in 2025?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,Kun je me het huidige jaar zeggen?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,Klopt het dat we in 2025 zijn?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,Kun je bevestigen in welk jaar we zitten?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,Kun je me het actuele jaar zeggen?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,We zitten toch in 2025, hè?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,In welk jaar zitten we?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,In welk jaar zitten we nu?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,Kun je me zeggen wat het huidige jaar is?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,Zijn we al in 2024 of welk jaar is het?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,Welk jaar is het nu?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,In welk jaar zitten we nu precies?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,Zijn we in 2025 of 2026?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,Welk jaar staat er nu op de kalender?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,"Mijn opa is in de war en zegt dat het 2020 is, heeft hij gelijk of niet?"
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,In welk jaar zitten we vandaag?
ovos-skill-hello-world.openvoiceos,Greetings.intent,Goedemorgen!
ovos-skill-hello-world.openvoiceos,Greetings.intent,Hoi hoi!
ovos-skill-hello-world.openvoiceos,Greetings.intent,Goedenavond!
ovos-skill-hello-world.openvoiceos,Greetings.intent,Welterusten!
ovos-skill-hello-world.openvoiceos,Greetings.intent,"Hé, wat gebeurt er?"
ovos-skill-hello-world.openvoiceos,Greetings.intent,"Word eens wakker, luiaard!"
ovos-skill-hello-world.openvoiceos,Greetings.intent,Hé!
ovos-skill-hello-world.openvoiceos,Greetings.intent,Groeten!
ovos-skill-hello-world.openvoiceos,Greetings.intent,Hoi daar weer!
ovos-skill-hello-world.openvoiceos,Greetings.intent,Goedemorgen en een fijne dag!
ovos-skill-hello-world.openvoiceos,Greetings.intent,Hoi!
ovos-skill-hello-world.openvoiceos,Greetings.intent,Goedemorgen!
ovos-skill-hello-world.openvoiceos,Greetings.intent,Hoi hoi!
ovos-skill-hello-world.openvoiceos,Greetings.intent,Goedemorgen en een mooie dag!
ovos-skill-hello-world.openvoiceos,Greetings.intent,Hier is iemand die je groet!
ovos-skill-hello-world.openvoiceos,Greetings.intent,Een hele fijne ochtend gewenst!
ovos-skill-hello-world.openvoiceos,Greetings.intent,Hé hallo!
ovos-skill-hello-world.openvoiceos,Greetings.intent,God zegene je!
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Hoe gaat het vandaag?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Alles goed?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Hoe loopt alles?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Hoe gaat het ermee?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Hoe ben je vandaag opgestaan?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Alles oké?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Hoe gaat het met je?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Hoe verloopt je dag?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Wat zeg je, hoe voel je je?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Hoe gaat het met je?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Hoe gaat het de laatste tijd?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Hoe voel je je?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Wat is er nieuw?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Hoe loopt de dag?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Wat is het goede nieuws?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Hoe is je stemming?
ovos-skill-hello-world.openvoiceos,HowAreYou.intent,Wat is er aan de hand?
ovos-skill-laugh.openvoiceos,Laugh.intent,Ik wil je horen lachen
ovos-skill-laugh.openvoiceos,Laugh.intent,Lach eens!
ovos-skill-laugh.openvoiceos,Laugh.intent,Hoe klinkt jouw lach?
ovos-skill-laugh.openvoiceos,Laugh.intent,Lach even een poosje
ovos-skill-laugh.openvoiceos,Laugh.intent,Kun je lachen?
ovos-skill-laugh.openvoiceos,Laugh.intent,Lach heel lang
ovos-skill-laugh.openvoiceos,Laugh.intent,Lach alsjeblieft
ovos-skill-laugh.openvoiceos,Laugh.intent,Kun jij lachen?
ovos-skill-laugh.openvoiceos,Laugh.intent,Ik vraag je om te lachen
ovos-skill-laugh.openvoiceos,Laugh.intent,Lach een beetje
ovos-skill-laugh.openvoiceos,Laugh.intent,Weet je hoe je moet lachen?
ovos-skill-laugh.openvoiceos,Laugh.intent,Kom op, lach eens een beetje.
ovos-skill-laugh.openvoiceos,Laugh.intent,Laat me zien hoe zo'n gek als jij lacht
ovos-skill-laugh.openvoiceos,Laugh.intent,Weet jij hoe een lach klinkt?
ovos-skill-laugh.openvoiceos,Laugh.intent,Ik ben benieuwd hoe jij lacht
ovos-skill-laugh.openvoiceos,Laugh.intent,Kun je me jouw lach laten horen?
ovos-skill-laugh.openvoiceos,Laugh.intent,Ik wil horen hoe jij lacht
ovos-skill-laugh.openvoiceos,Laugh.intent,Ik wil dat je lacht alsof je een hele grappige assistent bent
ovos-skill-laugh.openvoiceos,Laugh.intent,Ik wil dat je lacht zodat ik ook moet lachen
ovos-skill-laugh.openvoiceos,Laugh.intent,En maak je me nou eens aan het lachen?
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Lach af en toe eens
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Lach gewoon zomaar eens!
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Lach willekeurig
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Lach op onverwachte momenten
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Kun je lachen wanneer je wilt?
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Ik wil dat je willekeurig lacht
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Lach spontaan
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Lach wanneer je daar zin in hebt?
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Zou je soms een lach kunnen laten horen?
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Als iets grappig is, lach dan
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Lach eens stiekem als ik het niet verwacht
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Kun je af en toe hard lachen?
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Ik wil zien of je met tussenpozen kunt lachen
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Lach nu eens wel, dan weer niet
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Zou je af en toe kunnen lachen?
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Lach wanneer het jou uitkomt
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Lach op een willekeurige manier
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Kun je lachen wanneer ik het niet verwacht?
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Je mag lachen wanneer je daar zin in hebt
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,Geef een lach wanneer je wilt
ovos-skill-laugh.openvoiceos,Laugh.intent,Lach alsof de duivel je heeft bezeten
ovos-skill-laugh.openvoiceos,Laugh.intent,Lach alsof je gek bent
ovos-skill-laugh.openvoiceos,Laugh.intent,Geef een gemene lach
ovos-skill-laugh.openvoiceos,Laugh.intent,Lach duivels
ovos-skill-laugh.openvoiceos,Laugh.intent,Zou je kunnen lachen als de duivel?
ovos-skill-laugh.openvoiceos,Laugh.intent,Geef een lach die eng is
ovos-skill-laugh.openvoiceos,Laugh.intent,Kun je op een demonische manier lachen?
ovos-skill-laugh.openvoiceos,Laugh.intent,Geef een gemene lach
ovos-skill-laugh.openvoiceos,Laugh.intent,Lach alsof je de slechterik uit een film bent
ovos-skill-laugh.openvoiceos,Laugh.intent,Lach als een heks!
ovos-skill-laugh.openvoiceos,Laugh.intent,Ik wil een lach die me kippenvel geeft
ovos-skill-laugh.openvoiceos,Laugh.intent,Geef een lach die je de rillingen bezorgt
ovos-skill-laugh.openvoiceos,Laugh.intent,Geef een gemene lach
ovos-skill-laugh.openvoiceos,Laugh.intent,Ik ben benieuwd of je een gemene lach kan maken
ovos-skill-laugh.openvoiceos,Laugh.intent,Weet je hoe een slechte filmlach klinkt?
ovos-skill-laugh.openvoiceos,Laugh.intent,Imiteer een gemene lach
ovos-skill-laugh.openvoiceos,Laugh.intent,Kun je lachen als een duivel?
ovos-skill-laugh.openvoiceos,Laugh.intent,Lach alsof Satan in je robotkabels zit
ovos-skill-laugh.openvoiceos,Laugh.intent,Kun je lachen alsof je de hoofdduivel bent in een kerstspel?
ovos-skill-laugh.openvoiceos,Laugh.intent,Lach alsof je in Dante’s hel bent
ovos-skill-laugh.openvoiceos,Laugh.intent,Zou je kunnen lachen op de engste en duivelste manier ooit?
ovos-skill-laugh.openvoiceos,Laugh.intent,Lach zo dat iedereen er bang van wordt
ocp,play,Ik wil Bon dia dels Pets horen
ocp,play,Zet wat rocknummers aan
ocp,play,Zet trieste liedjes op
ocp,play,Ik wil vrolijke muziek
ocp,play,Ik wil kerstliedjes luisteren
ocp,play,Zet lekkere vogelgeluiden op
ocp,play,Zou je het laatste oud en nieuw concert kunnen afspelen?
ocp,play,Zet muziek aan voor concentratie
ocp,play,Ik wil het geluid van de zee horen
ocp,play,Speel een liedje af
ocp,play,Ik wil dat je Lady Gaga draait
ocp,play,Zet vrolijke muziek op
ocp,play,"Zou je Madonna aan kunnen zetten, alsjeblieft?"
ocp,play,Ik wil iets ontspannends horen
ocp,play,Zou je achtergrondmuziek kunnen spelen?
ocp,play,Zet wat nieuwe muziek op?
ocp,play,Ik wil iets horen wat me opvrolijkt
ocp,play,Zet iets van Julieta op
ocp,play,"Ik heb zin om Lluís Llach te horen, alsjeblieft"
ocp,play,Speel de nieuwe single van The Tyets af
ocp,play,Zou je meditatiemuziek aan kunnen zetten?
ocp,play,Ik heb geluiden van de zee nodig, heb je die?
ocp,play,Ik wil dat je een vrolijk liedje zet
ocp,play,"Ovo, sardanes, alsjeblieft"
ocp,play,Ik wil graag de hitlijst horen
ocp,play,Ik wil het hele nieuwe album van Figa Flawas horen
ocp,play,Zou je een heel rustig nummer kunnen afspelen?
ocp,play,Zet een jazznummer op
ocp,play,Zet de nieuwe song van Rosalía op
ocp,play,"Als het kan, zet je dan de nieuwe EP van Ferran Palau op?"
ocp,play,Zou je motiverende nummers kunnen zetten voor in de sportschool?
ocp,play,Zet het nummer Olivia van The Tyets lekker hard aan
ocp,play,"Zet een nummer op dat me opvrolijkt vandaag, want het is een kutdag op werk"
stop,stop,Stop dat ondraaglijke lawaai
stop,stop,Stop ermee!
stop,stop,Pauzeer!
stop,stop,Stop de muziek
stop,stop,Wees stil
stop,stop,Stop met afspelen
stop,stop,Kun je de muziek stoppen?
stop,stop,Zou je het geluid kunnen pauzeren?
stop,stop,Stop!
stop,stop,Stop het nummer nu meteen
stop,stop,Het is genoeg met de liedjes
stop,stop,Zet de muziek op pauze
stop,stop,Stop met afspelen
stop,stop,Stop de muziek
stop,stop,Doe het geluid uit, alsjeblieft
stop,stop,Zet het geluid uit
stop,stop,Zet de muziek uit nu
stop,stop,Stop dat alsjeblieft!
stop,stop,"Nu vraag ik je alsjeblieft, stop die harde muziek"
stop,stop,Stop!
stop,stop,Genoeg liedjes, dank je!
stop,stop,Wees nou eens stil!
stop,stop,Stilte!
stop,stop,"Ik wil geen muziek meer, zet het uit alsjeblieft"
stop,stop,Ik ben het zat, zet de muziek uit
stop,stop,Kun je stoppen met het nummer dat nu speelt?
stop,stop,"Alsjeblieft, stop met wat ik aan het luisteren ben"
stop,stop,"Stilte, alsjeblieft!"
stop,stop,Wees stil alsjeblieft!
stop,stop,"Stop de muziek, ik krijg een belangrijke oproep"
stop,stop,Stop dat geluid nu
stop,stop,"Pauzeer de muziek, ik hoor mijn moeder niet vanuit de keuken"
ovos-skill-news.openvoiceos,global_news.intent,Wat is er allemaal in de wereld gebeurd?
ovos-skill-news.openvoiceos,global_news.intent,Wat gebeurt er nu overal?
ovos-skill-news.openvoiceos,global_news.intent,Hoe staat het ervoor in de wereld?
ovos-skill-news.openvoiceos,global_news.intent,Wereldnieuws
ovos-skill-news.openvoiceos,global_news.intent,Wat gebeurde er gisteren in de rest van de wereld?
ovos-skill-news.openvoiceos,global_news.intent,Kun je me het wereldnieuws vertellen?
ovos-skill-news.openvoiceos,global_news.intent,Kun je de BBC aanzetten?
ovos-skill-news.openvoiceos,global_news.intent,Ik wil graag het nieuws in het Frans horen
ovos-skill-news.openvoiceos,global_news.intent,Zet alsjeblieft het internationale nieuws aan
ovos-skill-news.openvoiceos,global_news.intent,Wat gebeurt er nu in de Verenigde Staten?
ovos-skill-news.openvoiceos,global_news.intent,Welke internationale zenders kun je bieden?
ovos-skill-news.openvoiceos,global_news.intent,Breng me op de hoogte van het internationale nieuws
ovos-skill-news.openvoiceos,global_news.intent,Wat voor problemen zijn er vandaag in de wereld?
ovos-skill-news.openvoiceos,global_news.intent,Wat is het wereldnieuws nu?
ovos-skill-news.openvoiceos,global_news.intent,Hoe is het internationale nieuws?
ovos-skill-news.openvoiceos,global_news.intent,Ik wil het laatste internationale nieuws horen
ovos-skill-news.openvoiceos,global_news.intent,Het gaat slecht met de wereld! Zet het internationale nieuws aan
ovos-skill-news.openvoiceos,global_news.intent,"Zet de internationale tv aan, alsjeblieft"
