"skill","intent","example"
"date-time","date.last.weekend.intent","¿en qué fechas se dio el último finde?"
"date-time","date.last.weekend.intent","recuérdame cuándo fue el último domingo"
"date-time","date.last.weekend.intent","quiero saber cuándo finalizó el último fin de semana"
"date-time","date.last.weekend.intent","una duda: ¿cuándo fue el último finde?"
"date-time","date.last.weekend.intent","¿qué fechas eran el último fin de semana?"
"date-time","date.last.weekend.intent","¿el último finde cuándo fue que no me acuerdo ya?"
"date-time","date.last.weekend.intent","ostras no recuerdo las fechas del último finde, ¿me las podrías recordar?"
"date-time","date.last.weekend.intent","¿el último sábado y domingo qué días eran?"
"date-time","date.last.weekend.intent","días del último sábado y domingo que hemos vivido"
"date-time","date.last.weekend.intent","¿qué días fueron el último finde?"
"date-time","date.last.weekend.intent","¿en qué cayó el último finde?"
"date-time","date.last.weekend.intent","¿podrías decirme qué días ocupó el finde anterior?"
"date-time","date.last.weekend.intent","¿cuánto ha pasado desde el último fin de semana?"
"date-time","date.last.weekend.intent","¿el último finde fue el doce-trece?"
"date-time","what.day.is.it.intent","¿qué día es hoy?"
"date-time","what.day.is.it.intent","Dime la fecha actual"
"date-time","current_date.intent","¿sabes el día?"
"date-time","what.weekday.is.it.intent","¿me puedes decir si hoy es miércoles?"
"date-time","current_date.intent","Confírmame la fecha presente"
"date-time","current_date.intent","¿Me dices el día, mes y año en los que nos encontramos?"
"date-time","what.day.is.it.intent","soy un poco despistada: ¿qué día es hoy?"
"date-time","current_date.intent","¿en qué fecha estamos?"
"date-time","what.day.is.it.intent","dime el día en el que estamos, por favor"
"date-time","what.day.is.it.intent","haz el favor de decirme qué día es hoy"
"date-time","what.day.is.it.intent","¡dime qué día es hoy de una vez!"
"date-time","what.day.is.it.intent","¿en qué día me estoy levantado?"
"date-time","what.day.is.it.intent","¿qué día pone en el calendario hoy?"
"date-time","current_date.intent","te ordeno que me digas la fecha de hoy"
"date-time","current_date.intent","¿me puedes decir el número, mes y fecha de año en que estamos?"
"date-time","what.day.is.it.intent","ostras no sé ni en qué día estoy, ¿me lo puedes decir?"
"date-time","current_date.intent","¿fecha?"
"date-time","what.day.is.it.intent","¿en qué día estamos?"
"date-time","what.day.is.it.intent","¿en qué día vivimos?"
"date-time","what.day.is.it.intent","¿hoy es...?"
"date-time","current_date.intent","¿podrías decirme la fecha de hoy?"
"date-time","what.month.is.it.intent","¿sabes el mes?"
"date-time","what.month.is.it.intent","¿estamos ya en mayo?"
"date-time","what.month.is.it.intent","¿cuál es el mes actual?"
"date-time","what.month.is.it.intent","necesito saber el mes presente"
"date-time","what.month.is.it.intent","dime en qué mes nos encontramos"
"date-time","what.month.is.it.intent","¿me puedes decir el mes de ahora?"
"date-time","what.month.is.it.intent","¿estamos ya en junio?"
"date-time","what.month.is.it.intent","¿ya cambiamos de mes?"
"date-time","what.month.is.it.intent","dime el mes actual"
"date-time","what.month.is.it.intent","¿todavía seguimos en el mismo mes?"
"date-time","what.month.is.it.intent","necesito que me digas el mes en el que estamos ya, ¡rápido!"
"date-time","what.month.is.it.intent","¿estamos a enero o febrero?"
"date-time","what.month.is.it.intent","me puedes decir el mes en que estamos, por favor"
"date-time","what.month.is.it.intent","¿me puedes recordar el mes que es ahora mismo?"
"date-time","what.month.is.it.intent","¿qué mes sale ahora mismo en el calendario de mi casa?"
"date-time","what.month.is.it.intent","¿qué mes estamos viviendo ahora mismo los humanos de la tierra?"
"date-time","what.month.is.it.intent","¿qué més es hoy?"
"date-time","what.month.is.it.intent","¿podrías decirme en qué mes estamos?"
"date-time","what.month.is.it.intent","¿estamos en el mes de octubre?"
"date-time","what.month.is.it.intent","me gustaría saber el mes"
"date-time","what.month.is.it.intent","dime el mes"
"date-time","what.time.is.it.intent","¿tienes hora?"
"date-time","what.time.is.it.intent","dime la hora y minuto actuales."
"date-time","what.time.is.it.intent","¿me podrías dar la hora?"
"date-time","what.time.is.it.intent","¿son las tres ya?"
"date-time","what.time.is.it.intent","¿sabes qué hora es?"
"date-time","what.time.is.it.intent","necesito que me digas la hora."
"date-time","what.time.is.it.intent","¿tienes la hora?"
"date-time","what.time.is.it.intent","dime la hora: ¿voy justa de tiempo o sobrada?"
"date-time","what.time.is.it.intent","¿qué hora marca el reloj?"
"date-time","what.time.is.it.intent","necesito la hora exacta"
"date-time","what.time.is.it.intent","¿me podrías decir la hora?"
"date-time","what.time.is.it.intent","¿qué hora pone en tu reloj?"
"date-time","what.time.is.it.intent","¿qué hora es ahora mismo en Barcelona?"
"date-time","what.time.is.it.intent","dime la hora que hago tarde"
"date-time","what.time.is.it.intent","¿me podrías informar de la hora?"
"date-time","what.time.is.it.intent","¿qué hora es?"
"date-time","what.time.is.it.intent","¿podrías decirme la hora?"
"date-time","what.time.is.it.intent","¿son ya las doce?"
"date-time","what.time.is.it.intent","dime la hora"
"date-time","what.time.is.it.intent","¿qué dice el reloj?"
"date-time","what.time.will.it.be.intent","¿dentro de veinte minutos, qué hora será?"
"date-time","what.time.will.it.be.intent","si ahora son las dos, en tres minutos, ¿qué hora dará?"
"date-time","what.time.will.it.be.intent","dime qué hora será en cuarenta minutos."
"date-time","what.time.will.it.be.intent","necesito saber cuántos minutos pasarán de las cinco en veinte."
"date-time","what.time.will.it.be.intent","¿cuánto rato queda para las seis?"
"date-time","what.time.will.it.be.intent","¿falta mucho para que sean las tres menos veinte?"
"date-time","what.time.will.it.be.intent","de aquí media hora, ¿qué marcará el reloj?"
"date-time","what.time.will.it.be.intent","si trabajo sin parar 2 horas, ¿qué hora será?"
"date-time","what.time.will.it.be.intent","dentro de tres cuartos de hora, ¿cuál será la hora exacta?"
"date-time","what.time.will.it.be.intent","necesito que me digas qué hora será cuando hayan pasado 7 horas y media"
"date-time","sunset","¡a qué hora será el atardecer hoy?"
"date-time","what.time.will.it.be.intent","he puesto el pastel al horno y tiene que estar media hora, ¿a qué hora lo saco del horno?"
"date-time","what.time.will.it.be.intent","quiero estudiar una hora, ¿a qué hora paro?"
"date-time","what.time.will.it.be.intent","¿en una hora cuándo faltará para las once de la noche?"
"date-time","what.time.will.it.be.intent","si pasan cuarenta minutos, ¿qué hora será?"
"date-time","what.time.will.it.be.intent","¿es verdad que de aquí veinte minutos serán las diez y veinte?"
"date-time","what.time.will.it.be.intent","en dos horas, ¿qué hora será?"
"date-time","what.time.will.it.be.intent","¿qué hora será, cuando hayan passado treinta minutos?"
"date-time","what.time.will.it.be.intent","¿qué hora serà de aquí a doce minutos?"
"date-time","what.time.will.it.be.intent","en una hora y cuarto seran las..."
"date-time","what.time.will.it.be.intent","¿podrías decirme qué hora será en seis horas i media?"
"date-time","what.weekday.is.it.intent","¿puedes decirme el día de la semana?"
"date-time","what.weekday.is.it.intent","dime el día de la semana actual"
"date-time","what.weekday.is.it.intent","necesito saber el presente día de la semana"
"date-time","what.weekday.is.it.intent","¿cuál es la el día de la semana de hoy?"
"date-time","what.weekday.is.it.intent","¿hoy es martes o qué día?"
"date-time","what.weekday.is.it.intent","¿me confirmas si es jueves, porfa?"
"date-time","what.weekday.is.it.intent","¿en qué día de la semana estamos?"
"date-time","what.weekday.is.it.intent","¿a qué día estamos?"
"date-time","what.weekday.is.it.intent","¿hoy es miércoles o jueves?"
"date-time","what.weekday.is.it.intent","por favor, dime que ya es viernes"
"date-time","what.weekday.is.it.intent","¿estamos a mitad de semana?"
"date-time","what.day.is.it.intent","¿qué día es hoy?"
"date-time","current_date.intent","¿hoy qué día tengo que marcar en el calendario?"
"date-time","what.weekday.is.it.intent","¿hoy estamos a martes?"
"date-time","what.weekday.is.it.intent","¿hoy es el primer día de la semana?"
"date-time","what.weekday.is.it.intent","si miro al calendario de la pared, ¿que día de la semana pondrá?"
"date-time","what.weekday.is.it.intent","en el calendario del móvil me sale que estamos a jueves, ¿es verdad?"
"date-time","what.weekday.is.it.intent","me puedes decir en qué día de la semana estamos"
"date-time","what.weekday.is.it.intent","¿qué día de la semana és?"
"date-time","what.day.is.it.intent","¿en qué día estamos?"
"date-time","what.weekday.is.it.intent","¿hoy es lunes?"
"date-time","what.weekday.is.it.intent","dime en que día de la semana vivimos"
"date-time","what.weekday.is.it.intent","¿hoy es...?"
"date-time","what.year.is.it.intent","dime en qué año estamos, porfi"
"date-time","what.year.is.it.intent","¿ya es dos mil veintiséis?"
"date-time","what.year.is.it.intent","¿cuál es el año actual?"
"date-time","what.year.is.it.intent","¿estamos en enero de qué año?"
"date-time","what.year.is.it.intent","¿sabes el año de ahora?"
"date-time","what.year.is.it.intent","¿me confirmas si dos mil dos es el presente año?"
"date-time","what.year.is.it.intent","¿estamos en 2025?"
"date-time","what.year.is.it.intent","¿qué año es?"
"date-time","what.year.is.it.intent","¿todavía seguimos en el mismo año?"
"date-time","what.year.is.it.intent","¿puedes decirme el año actual, por favor?"
"date-time","what.year.is.it.intent","A ver, que yo me entere: ¿en qué año estamos?"
"date-time","what.year.is.it.intent","estoy desorientado y no recuerdo el año en que estamos"
"date-time","what.year.is.it.intent","¿hemos pasado ya el año 2000?"
"date-time","what.year.is.it.intent","¿en qué año estoy ahora mismo?"
"date-time","what.year.is.it.intent","¿qué año pone ahora mismo en el calendario?"
"date-time","what.year.is.it.intent","¿estamos a 2025 o 2026?"
"date-time","what.year.is.it.intent","¿es dos mil veinticinco?"
"date-time","what.year.is.it.intent","¿en qué año vivimos?"
"date-time","what.year.is.it.intent","¿podrías decirme el año actual?"
"date-time","what.year.is.it.intent","solo dime el año"
"hello world","Greetings.intent","¡buenos días!"
"hello world","Greetings.intent","¡Hola hola!"
"hello world","Greetings.intent","¡Hello!"
"hello world","Greetings.intent","¡Buenas!"
"hello world","Greetings.intent","Holi"
"hello world","Greetings.intent","¡Tú por aquí!"
"hello world","Greetings.intent","¡muy buenas!"
"hello world","Greetings.intent","¡hola de nuevo!"
"hello world","Greetings.intent","¡buen día!"
"hello world","Greetings.intent","¡ey!"
"hello world","Greetings.intent","¡yuju!"
"hello world","Greetings.intent","¡buenas!"
"hello world","Greetings.intent","ey, ¿estás ahí?"
"hello world","Greetings.intent","buenas, compañero"
"hello world","Greetings.intent","¡saludos!"
"hello world","Greetings.intent","¿tienes un momento?"
"hello world","Greetings.intent","¡qué dices!"
"hello world","Greetings.intent","¡holi!"
"hello world","Greetings.intent","¡epa!"
"hello world","Greetings.intent","¡buenas tardes!"
"hello world","Greetings.intent","¿hey, qué passa?"
"hello world","Greetings.intent","¡despierta!"
"hello world","Greetings.intent","¡ave, cesar!"
"hello world","Greetings.intent","¿qué tal?"
"hello world","Greetings.intent","¿cómo andas?"
"hello world","Greetings.intent","¿qué hay?"
"hello world","Greetings.intent","¿qué es de tu vida?"
"hello world","Greetings.intent","¿qué me cuentas?"
"hello world","Greetings.intent","¿cómo estamos?"
"hello world","Greetings.intent","¿todo en orden?"
"hello world","Greetings.intent","¿qué tal va la cosa?"
"hello world","Greetings.intent","¿cómo va eso?"
"hello world","Greetings.intent","¿cómo vamos?"
"hello world","Greetings.intent","¿cómo va todo?"
"hello world","Greetings.intent","¿cómo te encuentras?"
"hello world","Greetings.intent","¿qué tal andas?"
"hello world","Greetings.intent","¿qué onda, amigo?"
"hello world","Greetings.intent","¿cómo te trata la vida?"
"hello world","Greetings.intent","¿cómo llevas el día?"
"hello world","Greetings.intent","¿cómo vas?"
"hello world","Greetings.intent","¿qué dices de nuevo?"
"hello world","Greetings.intent","¿qué onda?"
"hello world","Greetings.intent","¿qué dice el crack?"
"hello world","Greetings.intent","¿cómo estás?"
"hello world","Greetings.intent","¿todo bien?"
"hello world","Greetings.intent","¿cómo amaneciste?"
"laugh","Laugh.intent","quiero escuchar como te ries"
"laugh","Laugh.intent","venga, ríete"
"laugh","Laugh.intent","a ver si sabes reír"
"laugh","Laugh.intent","¿sabes cómo hacer carcajadas?"
"laugh","Laugh.intent","a reír se ha dicho"
"laugh","Laugh.intent","¿tienes idea de cómo suena una risotada?"
"laugh","Laugh.intent","quiero escuchar como te ríes"
"laugh","Laugh.intent","¿puedes reírte?"
"laugh","Laugh.intent","échate unas risas"
"laugh","Laugh.intent","venga va, ¡ríete!"
"laugh","Laugh.intent","muéstrame cómo te ríes"
"laugh","Laugh.intent","ríete"
"laugh","Laugh.intent","me gustaría escuchar la forma como te ríes"
"laugh","Laugh.intent","¿puedes dar una carcajada?"
"laugh","Laugh.intent","te ordeno que rías"
"laugh","Laugh.intent","necesito que ríes para animarme el día"
"laugh","Laugh.intent","¿me puedes mostrar tu risa?"
"laugh","Laugh.intent","¡ríe!"
"laugh","Laugh.intent","quiero que te rías mucho"
"laugh","Laugh.intent","ríete un rato"
"laugh","Laugh.intent","quiero saber cómo es tu risa"
"laugh","RandomLaugh.intent","activa la risa en modo aleatorio"
"laugh","RandomLaugh.intent","ríete a intervalos"
"laugh","RandomLaugh.intent","¿te puedes reír ahora sí, ahora no?"
"laugh","RandomLaugh.intent","inicia risas al tuntún"
"laugh","RandomLaugh.intent","haz risas rándom"
"laugh","RandomLaugh.intent","¿sabes reírte de vez en cuando?"
"laugh","RandomLaugh.intent","ríate a ratos"
"laugh","RandomLaugh.intent","si algo te hace gracia, ríete"
"laugh","RandomLaugh.intent","empieza a reír aleatoriamente"
"laugh","RandomLaugh.intent","pon el modo risas al azar"
"laugh","RandomLaugh.intent","ríe cuando te dé la gana"
"laugh","RandomLaugh.intent","sorpréndeme con unas risas, venga"
"laugh","RandomLaugh.intent","ríe cuando menos me lo espere"
"laugh","RandomLaugh.intent","haz una carcajada cuando quieras"
"laugh","RandomLaugh.intent","puedes reír cuando te apetezca"
"laugh","RandomLaugh.intent","ríe de manera random"
"laugh","RandomLaugh.intent","ríe cuando te salga de los cojones"
"laugh","RandomLaugh.intent","ríete al azar"
"laugh","RandomLaugh.intent","quiero que rías espontáneamente"
"laugh","RandomLaugh.intent","ríe cuando quieras"
"laugh","RandomLaugh.intent","ríete a veces"
"laugh","Laugh.intent","ríete como un loco"
"laugh","Laugh.intent","haz una risa de villana"
"laugh","Laugh.intent","¿te sabes reír como un maníaco?"
"laugh","Laugh.intent","actívame la risa maligna"
"laugh","Laugh.intent","carcajéate como un chalado"
"laugh","Laugh.intent","imita una risotada diabólica"
"laugh","Laugh.intent","ríe como si fueres un villano"
"laugh","Laugh.intent","activa la risa maligna"
"laugh","Laugh.intent","quiero que tu risa me dé escalofríos"
"laugh","Laugh.intent","venga, ríe como un psicópata"
"laugh","Laugh.intent","me gustaría oír carcajadas dignas de un ser vil"
"laugh","Laugh.intent","ríete como si fueras un diablo"
"laugh","Laugh.intent","ríete como si fueras el malvado de una película"
"laugh","Laugh.intent","¿eres capaz de reír de una manera que me dé mucho miedo?"
"laugh","Laugh.intent","¿puedes reír de la manera más tenebrosa y diabólica del mundo?"
"laugh","Laugh.intent","ríete como si fueras el malvado de Harry Potter"
"laugh","Laugh.intent","ríete como si te hubiera poseído el demonio"
"laugh","Laugh.intent","ríete diabólicamente"
"laugh","Laugh.intent","quiero que te rías como Satán"
"laugh","Laugh.intent","ahora eres el demonio, ríete"
"laugh","Laugh.intent","haz tu risa más maléfica"
"music","play","quiero escuchar algo de la Oreja de Van Gogh"
"music","play","reproduce música clásica"
"music","play","me gustaría oír sonidos de lluvia"
"music","play","ponme Camela"
"music","play","me apetece que pongas Rosalía"
"music","play","¿tienes algo de David Civera?"
"music","play","¿podrías poner música moderna?"
"music","play","me apetece escuchar rock ochentero"
"music","play","quiero música de los Jonas Brothers"
"music","play","me apetece que hagas sonar algo alegre"
"music","play","pon algun temazo de Bad Bunny, Benito para los amigos"
"music","play","reproduce música épica, tipo la banda sonora de El Señor de los Anillos"
"music","play","¿podrías poner música relajante, por favor?"
"music","play","hoy estoy nostálgica, ¿puedes poner algo de Amaral?"
"music","play","sorpréndeme con tus gustos musicales"
"music","play","haz sonar la canción número uno del momento"
"music","play","se acerca el brat summer, pon Charli xcx"
"music","play","quiero escuchar la nueva de Bad Bunny"
"music","play","necesito escuchar música tranquila"
"music","play","me puedes poner el último disco que sacó Estopa"
"music","play","pon Baby de Justin Bieber"
"music","play","¿me puedes poner una canción que me anime?"
"music","play","quiero ir al gimnasio y no sé que canciones poner, ¿me puedes ayudar?"
"music","play","puedes hacer sonar a toda castaña la canción de Mariposas de Aitana"
"music","play","quiero que me pongas toda la discografía de Julieta Venegas"
"music","play","ponme algo de Estopa"
"music","play","repoduce canciones tristes en inglés"
"music","play","pon rock español de los ochenta"
"music","play","quiero escuchar el sonido del mar"
"music","play","podrías reproducir sonido de lluvia"
"music","play","pon canciones de Bruce Springsteen"
"music","play","¿podría escuchar el nuevo disco de Bad Bunny?"
"music","play","tengo que prepararme para el concierto del Último de la Fila, ayúdame"
"music","stop","necesito que pares la música"
"music","stop","basta de música"
"music","stop","¡para ya!"
"music","stop","no aguanto más esta pesadilla, para"
"music","stop","detén este ruido horrible"
"music","stop","hasta aquí la música"
"music","stop","deja de reproducir esta canción"
"music","stop","no quiero escuchar más música"
"music","stop","ahora a callar"
"music","stop","que te calles"
"music","stop","para la música, me va a explotar la cabeza"
"music","stop","silencio, por favor"
"music","stop","no quiero escuchar nada más, gracias"
"music","stop","¿podemos estar un rato en silencio?"
"music","stop","es muy importante que me concentre, para la música"
"music","stop","corta la música"
"music","stop","detén la canción"
"music","stop","ya basta de música, por Dios"
"music","stop","stop música"
"music","stop","¡cállate!"
"music","stop","¡para la música ya!"
"music","stop","¡dios mío, para esta música terrible!"
"music","stop","tengo dolor de cabeza, ¿puedes para la puta música?"
"music","stop","por favor, ¿puedes poner stop a la música?"
"music","stop","no escucho qué dice mi novio, ¿te puedes callar?"
"music","stop","quiero que detengas esto que está sonando"
"music","stop","¡ya basta!"
"music","stop","deja de reproducir música"
"music","stop","¡detén este horrible ruido!"
"music","stop","pon pausa"
"music","stop","¿podrías parar la música?"
"music","stop","haz silencio"
"music","stop","detén"
"music","stop","no reproduzcas más"
"music","stop","para un ratito, porfi"
"news","global_news.intent","¿qué ha pasado por el mundo?"
"news","global_news.intent","ponme al día de las noticias internacionales"
"news","global_news.intent","quiero información de actualidad internacional"
"news","global_news.intent","¿me pones noticias internacionales, por favor?"
"news","global_news.intent","reproduce algún canal de noticias del mundo"
"news","global_news.intent","me interesa saber qué está pasando hoy a nivel internacional"
"news","global_news.intent","mírame qué ha pasado por el mundo"
"news","global_news.intent","quiero que pongas las noticias en inglés"
"news","global_news.intent","¿cómo está el mundo hoy?"
"news","global_news.intent","sintoniza la NBC"
"news","global_news.intent","me gustaría tener noticias del extranjero, por favor"
"news","global_news.intent","¿puedes poner un canal de noticias en francés?"
"news","global_news.intent","¿me puedes poner las noticias internacionales?"
"news","global_news.intent","¿qué dicen las noticias del mundo?"
"news","global_news.intent","me gustaría saber qué está pasando por el mundo"
"news","global_news.intent","¿me puedes sintonizar las noticias del mundo?"
"news","global_news.intent","¿qué está pasando por el mundo? ¿Todo está fatal no?"
"news","global_news.intent","ponme las noticias internacionales, por favor"
"news","global_news.intent","¿qué está pasando en el planeta?"
"news","global_news.intent","infórmame de lo que ocurre en el mundo"
"news","global_news.intent","¿podrías poner las notícias mundiales?"
"news","global_news.intent","quiero escuchar las notícias internacionales"
"news","news.intent","ponme las noticias, por favor"
"news","news.intent","quiero escuchar el noticiario"
"news","news.intent","deseo oír noticias"
"news","news.intent","reproduce el canal de noticias"
"news","news.intent","¿puedes poner las noticias?"
"news","news.intent","noticias, por favor"
"news","news.intent","infórmame de las noticias, porfi"
"news","news.intent","¿puedes poner catalunya informació, por favor?"
"news","news.intent","quiero escuchar a Ricard Ustrell"
"news","news.intent","pon el canal de noticias catalanas"
"news","news.intent","quiero saber cómo va todo por Cataluña"
"news","news.intent","¿puedes actualizarme con las noticias de catalunya informació?"
"news","news.intent","dale al play a las news porfi"
"news","news.intent","te ordeno que me pongas las noticias"
"news","news.intent","me gustaria saber qué dicen en las noticias"
"news","news.intent","si eres tan amable, ¿me podrías poner las noticias?"
"news","news.intent","¿qué estan contando ahora mismo en las noticias?"
"news","news.intent","noticias locales, porfi"
"news","news.intent","¿qué está sucediendo aquí?"
"news","news.intent","cuéntame las noticias del día"
"news","news.intent","¿qué está pasando aquí?"
"news","news.intent","¿qué ha ocurrido en Cataluña?"
"parrot","did.you.hear.me.intent","¿me estás escuchando?"
"parrot","did.you.hear.me.intent","¿me oyes o no?"
"parrot","did.you.hear.me.intent","¿me estás ignorando?"
"parrot","did.you.hear.me.intent","¿has escuchado lo que he dicho?"
"parrot","did.you.hear.me.intent","¿lo has pillado?"
"parrot","did.you.hear.me.intent","¿te enteras?"
"parrot","did.you.hear.me.intent","¿estás pasando de mí?"
"parrot","did.you.hear.me.intent","¿oyes lo que digo?"
"parrot","did.you.hear.me.intent","si me oyes di algo"
"parrot","did.you.hear.me.intent","¿hay alguien ahí?"
"parrot","did.you.hear.me.intent","¿me prestas atención?"
"parrot","did.you.hear.me.intent","¿estás ahí o te has dormido?"
"parrot","did.you.hear.me.intent","¿te estás enterando de lo que te digo?"
"parrot","did.you.hear.me.intent","¿has comprendido todo lo que te he dicho?"
"parrot","did.you.hear.me.intent","¿me has podido seguir?"
"parrot","did.you.hear.me.intent","¿has entendido mi mensaje?"
"parrot","did.you.hear.me.intent","¿te has enterado o te lo tengo que volver a decir?"
"parrot","did.you.hear.me.intent","¿me has oído?"
"parrot","did.you.hear.me.intent","¿te has enterado?"
"parrot","did.you.hear.me.intent","¿queda claro?"
"parrot","did.you.hear.me.intent","¿me has entendido?"
"parrot","did.you.hear.me.intent","¿capisci?"
"parrot","repeat.stt.intent","repite lo que acabo de decir"
"parrot","repeat.stt.intent","a ver lo que he dicho"
"parrot","repeat.stt.intent","repite lo que he dicho que yo lo oiga"
"parrot","repeat.stt.intent","reitera mi última frase"
"parrot","repeat.stt.intent","¿puedes reproducir mis últimas palabras?"
"parrot","repeat.stt.intent","¿sabrías volver a decir lo último que he dicho?"
"parrot","repeat.stt.intent","dime lo que acabo de decir"
"parrot","repeat.stt.intent","dime lo que he dicho"
"parrot","repeat.stt.intent","te ordeno que repitas lo que acabo de expresar"
"parrot","repeat.stt.intent","¿qué ha sido lo último que he dicho?"
"parrot","repeat.stt.intent","solo por ver si estás atento: ¿qué he comentado?"
"parrot","repeat.stt.intent","por favor, quiero comprobar si has escuchado lo que acabo de mencionar"
"parrot","repeat.stt.intent","te ordeno que repitas lo que te he dicho"
"parrot","repeat.stt.intent","por favor, ¿puedes repetir lo mismo que te he dicho?"
"parrot","repeat.stt.intent","di lo mismo de lo que te acabo de decir"
"parrot","repeat.stt.intent","usa las mismas palabras que acabo de usar"
"parrot","repeat.stt.intent","habla de la misma forma como lo acabo de hacer"
"parrot","repeat.stt.intent","repite lo último que he dicho"
"parrot","repeat.stt.intent","¿podrías volver a decir lo que acabo de decirte?"
"parrot","repeat.stt.intent","repite mis últimas palabras"
"parrot","repeat.stt.intent","¿qué es lo último que te he dicho?"
"parrot","repeat.stt.intent","¿qué he dicho?"
"parrot","repeat.tts.intent","repite lo que has dicho"
"parrot","repeat.tts.intent","otra vez"
"parrot","repeat.tts.intent","¿qué has dicho?"
"parrot","repeat.tts.intent","no me he enterado, ¿qué?"
"parrot","repeat.tts.intent","¿qué dices?"
"parrot","repeat.tts.intent","dilo otra vez"
"parrot","repeat.tts.intent","a ver, repite lo que has dicho"
"parrot","repeat.tts.intent","¿puedes repetir esto último?"
"parrot","repeat.tts.intent","di lo mismo otra vez"
"parrot","repeat.tts.intent","no te he entendido, repite"
"parrot","repeat.tts.intent","¿cómo? ¿qué acabas de decir?"
"parrot","repeat.tts.intent","que me repitas lo que has dicho, leñe"
"parrot","repeat.tts.intent","¿puedes volver a decir lo mismo que has dicho?"
"parrot","repeat.tts.intent","joder no te entiendo, ¿puedes repetirlo?"
"parrot","repeat.tts.intent","¿puedes repetir el prompt que acabas de hacer que no te he acabado de entender?"
"parrot","repeat.tts.intent","puedes volver a decir las mismas palabras que acabas de usar"
"parrot","repeat.tts.intent","repite lo que acabas de decir"
"parrot","repeat.tts.intent","vuelve a decir lo último"
"parrot","repeat.tts.intent","¿que acabas de decir?"
"parrot","repeat.tts.intent","repíte, por favor"
"parrot","start_parrot.intent","activa el modo loro"
"parrot","start_parrot.intent","inicia el modo de repetición"
"parrot","start_parrot.intent","a partir de ahora, repite mis palabras"
"parrot","start_parrot.intent","hasta nuevo aviso, imítame como un loro"
"parrot","start_parrot.intent","imítame hasta que yo te diga"
"parrot","start_parrot.intent","di lo mismo que yo hasta que te avise"
"parrot","start_parrot.intent","pon el modo lorito"
"parrot","start_parrot.intent","ponte en plan loro"
"parrot","start_parrot.intent","modo loro on"
"parrot","start_parrot.intent","dale al modo loro"
"parrot","start_parrot.intent","a partir de ahora imítame"
"parrot","start_parrot.intent","ahora sígueme, repite todo lo que diga"
"parrot","start_parrot.intent","entra en modo repetición"
"parrot","start_parrot.intent","¡activa ya el modo loro!"
"parrot","start_parrot.intent","repite todo lo que diga a partir de ahora"
"parrot","start_parrot.intent","activa el modo repetición"
"parrot","start_parrot.intent","pone on al modo loro"
"parrot","start_parrot.intent","¿puedes ser mi eco a partir de ahora y repetirme todo el rato?"
"parrot","start_parrot.intent","¿puedes activar este modo que tienes que repites todo el rato lo mismo que yo digo?"
"parrot","start_parrot.intent","repite todo el rato lo que yo te voy diciendo"
"parrot","start_parrot.intent","repíteme hasta que diga"
"parrot","start_parrot.intent","empieza el modo loro"
"parrot","start_parrot.intent","repite todo lo que yo diga"
"parrot","start_parrot.intent","ahora conviértete en loro"
"parrot","start_parrot.intent","ves repitiéndome"
"parrot","start_parrot.intent","conviértete en mi loro"
"parrot","stop_parrot.intent","para de repetir lo que digo"
"parrot","stop_parrot.intent","basta ya de modo loro"
"parrot","stop_parrot.intent","no me repitas más"
"parrot","stop_parrot.intent","finaliza las repeticiones"
"parrot","stop_parrot.intent","deja de repetir mis palabras"
