skill,intent,example
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,en quin dia del calendari ens trobem?
ovos-skill-date-time.openvoiceos,what.day.is.it.intent,quin dia és hui?
ovos-skill-date-time.openvoiceos,current_date.intent,"em pots dir el número, el mes i l'any en què som avui?"
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,a quin mes som?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,quin més de l'any és?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,em podries dir en quin mes estem?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,en quin més vivim?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,som al més de maig?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,avui quin mes és?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,aquest mes quin és?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,ja hem entrat al maig?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,em podries confirmar si ja som al maig?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,com es diu aquest mes?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,a quin mes correspon la data d'avui?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,som a gener o quin mes?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,tens idea del mes en què ens trobem?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,saps el mes actual?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,em podries dir el mes d'ara?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,"en el temps present, quin és el mes?"
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,quin és el mes en què ens trobem ara?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,quin mes hi ha ara mateix al calendari que tinc penjat a la paret de la cuina?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,ara mateix som al mes d'abril o de maig?
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,siusplau recorda'm en quin mes som que estic molt despistat
ovos-skill-date-time.openvoiceos,what.month.is.it.intent,em pots recordar lo nom del mes en què som ara?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,quina hora és?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,hora?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,què diu el rellotge?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,ja són les dotze?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,diga'm l'hora
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,"podires dir-me l'hora, si us plau"
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,em pots dir l'hora?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,que tens l'hora?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,quina és l'hora exacta a Nova York?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,és d'hora?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,"saps si és gaire tard, ara mateix?"
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,ja són les quatre o quina hora?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,a quin moment del dia ens trobem?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,"em pots indicar l'hora, el minut i el segon actuals?"
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,"ara mateix, què diu el rellotge?"
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,ara mateix què posa al teu rellotge?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,em podries informar de l'hora que és ara mateix?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,ara són les deu o les onze?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,és massa tard per fer-me un cafè ara o no podré dormir a la nit?
ovos-skill-date-time.openvoiceos,what.time.is.it.intent,"me pots dir s'hora, per favor?"
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,quina hora tindrem d'aquí a vint minuts?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,quina hora serà d'aquí a dues hores?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,"seran les quatre, després de cinc minuts?"
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,d'aquí a una hora i tres quarts seran les...?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,"quan passin trenta-quatre mintus, quina hora serà?"
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,em pots dir quina hora serà quan hagin passat sis hores i divuit minuts?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,"si passa una hora i dos quarts, quina hora serà?"
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,quina hora serà d'aquí un quart d'hora?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,podries calcular quina hora serà quan passin dues hores i deu minuts?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,quants minuts passaran de les cinc en dues hores?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,"si en dos minuts seran les tres, quina hora hi haurà en deu minuts?"
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,quina hora serà a dos quarts de quatre?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,em saps dir què marcarà el rellotge en vint minuts?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,quina hora tocarà en tres hores?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,"quan hagin passat trenta minuts, quina hora marcarà el rellotge?"
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,"si ara em poso a estudiar tres quarts d'hora, quina hora serà llavors?"
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,d'aquí vint minuts seran les deu i vint?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,d'aquí vint minuts seran tres quarts i cinc de deu?
ovos-skill-date-time.openvoiceos,what.time.will.it.be.intent,en una hora quan faltarà per les onze de la nit?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,quin dia de la setmana és?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,avui és dilluns?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,avui és...?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,diga'm el dia de la setmana
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,avui és dimarts o dimecres?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,en quin dia de la setmana estem?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,quin dia és avui?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,avui és festiu?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,en quin dia de la setmana ens trobem?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,avui és dissabte o diumenge?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,estem a dimarts?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,avui és la castanyada?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,saps a quin dia de la setmana estem actualment?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,digues el dia de la setmana actual
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,"si ahir era dimarts, quin dia de la setmana és avui?"
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,em pots indicar el dia de la setmana present
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,indica'm el dia de la setmana on som
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,si em dius que avui és dilluns em torno a posar al llit i no em desperto fins divendres
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,quin dia de la setmana som hui?
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,"si miro al calendari, quin dia de la setmana som avui?"
ovos-skill-date-time.openvoiceos,what.weekday.is.it.intent,si vostè és tan amable em podria dir quin dia de la setmana és avui?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,que saps a quin any som?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,a quin any vivim?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,som al 2025?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,quin any és?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,estem al 2025?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,em pots dir l'any acutal?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,veritat que som al 2025?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,em pots confirmar l'any en què ens trobem?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,em pots dir l'any actual?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,"som al 2025, oi?"
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,en quin any estem?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,en quin any ens trobem?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,em saps dir quin és l'any actual?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,ja som a 2024 o quin any?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,l'any d'ara quin és?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,en quin any ens trobem ara mateix?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,som al 2025 o al 2026?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,quin és lo any que posa ara mateix al calendari?
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,"el meu avi està desorientat i diu que som al 2020, té raó o no?"
ovos-skill-date-time.openvoiceos,what.year.is.it.intent,en el dia de hui en quin any som?
ovos-skill-hello-world.openvoiceos,Greetings.intent,bon dia tinguis!
ovos-skill-hello-world.openvoiceos,Greetings.intent,"hola, hola!"
ovos-skill-hello-world.openvoiceos,Greetings.intent,bona tarda!
ovos-skill-hello-world.openvoiceos,Greetings.intent,bona nit!
ovos-skill-hello-world.openvoiceos,Greetings.intent,"ep, què passa?"
ovos-skill-hello-world.openvoiceos,Greetings.intent,"desperta, gandul!"
ovos-skill-hello-world.openvoiceos,Greetings.intent,ei!
ovos-skill-hello-world.openvoiceos,Greetings.intent,salutacions!
ovos-skill-hello-world.openvoiceos,Greetings.intent,hola de nou!
ovos-skill-hello-world.openvoiceos,Greetings.intent,bon dia i bona hora
ovos-skill-hello-world.openvoiceos,Greetings.intent,holi!
ovos-skill-hello-world.openvoiceos,Greetings.intent,bon dia al dematí!
ovos-skill-hello-world.openvoiceos,Greetings.intent,hola hola!
ovos-skill-hello-world.openvoiceos,Greetings.intent,bon dia i bona hora!
ovos-skill-hello-world.openvoiceos,Greetings.intent,per aquí una persona que et saluda!
ovos-skill-hello-world.openvoiceos,Greetings.intent,molt bon dia pel matí!
ovos-skill-hello-world.openvoiceos,Greetings.intent,ep hola!
ovos-skill-hello-world.openvoiceos,Greetings.intent,déu vos guard!
ovos-skill-hello-world.openvoiceos,Greetings.intent,com vas avui?
ovos-skill-hello-world.openvoiceos,Greetings.intent,què tal?
ovos-skill-hello-world.openvoiceos,Greetings.intent,com va tot?
ovos-skill-hello-world.openvoiceos,Greetings.intent,com anem?
ovos-skill-hello-world.openvoiceos,Greetings.intent,com t'has llevat avui?
ovos-skill-hello-world.openvoiceos,Greetings.intent,tot bé?
ovos-skill-hello-world.openvoiceos,Greetings.intent,com va la cosa?
ovos-skill-hello-world.openvoiceos,Greetings.intent,com va el dia?
ovos-skill-hello-world.openvoiceos,Greetings.intent,"què dius, com estàs?"
ovos-skill-hello-world.openvoiceos,Greetings.intent,com et va la vida?
ovos-skill-hello-world.openvoiceos,Greetings.intent,què tal aquests dies?
ovos-skill-hello-world.openvoiceos,Greetings.intent,com et trobes?
ovos-skill-hello-world.openvoiceos,Greetings.intent,quines novetats tens?
ovos-skill-hello-world.openvoiceos,Greetings.intent,com prova el dia?
ovos-skill-hello-world.openvoiceos,Greetings.intent,què dius de bo?
ovos-skill-hello-world.openvoiceos,Greetings.intent,com van els ànims?
ovos-skill-hello-world.openvoiceos,Greetings.intent,què onda?
ovos-skill-laugh.openvoiceos,Laugh.intent,vull sentir-te riure
ovos-skill-laugh.openvoiceos,Laugh.intent,riu!
ovos-skill-laugh.openvoiceos,Laugh.intent,com és el teu riure?
ovos-skill-laugh.openvoiceos,Laugh.intent,riu una estona
ovos-skill-laugh.openvoiceos,Laugh.intent,pots riure?
ovos-skill-laugh.openvoiceos,Laugh.intent,riu molt de temps
ovos-skill-laugh.openvoiceos,Laugh.intent,"riu, sisplau"
ovos-skill-laugh.openvoiceos,Laugh.intent,que pots riure?
ovos-skill-laugh.openvoiceos,Laugh.intent,et demano que riguis
ovos-skill-laugh.openvoiceos,Laugh.intent,riu una mica
ovos-skill-laugh.openvoiceos,Laugh.intent,saps riure?
ovos-skill-laugh.openvoiceos,Laugh.intent,"va, riu una mica."
ovos-skill-laugh.openvoiceos,Laugh.intent,ensenya'm com riu una andròmina com tu
ovos-skill-laugh.openvoiceos,Laugh.intent,saps com sona una rialla?
ovos-skill-laugh.openvoiceos,Laugh.intent,a veure com rius
ovos-skill-laugh.openvoiceos,Laugh.intent,pots mostrar-me el teu riure
ovos-skill-laugh.openvoiceos,Laugh.intent,m'agradaria sentir com rius
ovos-skill-laugh.openvoiceos,Laugh.intent,vull que riguis com si fossis un assitent molt divertit
ovos-skill-laugh.openvoiceos,Laugh.intent,vull que riguis de manera que em facis riure a mi
ovos-skill-laugh.openvoiceos,Laugh.intent,i si me fas una rialla?
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,riu de tant en tant
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,ves rient aleatòriament!
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,riu a l'atzar
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,riu en moments inesperats
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,pots riure quan vulguis
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,vull que riguis de manera aleatòria
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,riu de manera espontània
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,pots riure quan et sembli?
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,podries anar fent alguna rialla quan trobis?
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,"Si alguna cosa et fa gràcia, riu"
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,fes rialletes quan menys m'ho esperi
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,pots descollonar-te de manera discontínua?
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,a veure si saps riure a intervals
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,riu ara sí i ara no
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,podries riure de tant en tant?
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,riu en el moment que et surti de dins
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,riu de manera random
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,pots riure quan jo menys m'ho esperi?
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,et dono permís per riure quan a tu et vingui de gust
ovos-skill-laugh.openvoiceos,RandomLaugh.intent,pega't una rialla quan tu vulgues
ovos-skill-laugh.openvoiceos,Laugh.intent,riu com si t'hagués posseït el diable
ovos-skill-laugh.openvoiceos,Laugh.intent,riu com si estiguessis boig
ovos-skill-laugh.openvoiceos,Laugh.intent,fes un riure malvat
ovos-skill-laugh.openvoiceos,Laugh.intent,riu endimoniadament
ovos-skill-laugh.openvoiceos,Laugh.intent,podries riure com el dialble
ovos-skill-laugh.openvoiceos,Laugh.intent,fes un riure que faci por
ovos-skill-laugh.openvoiceos,Laugh.intent,pots riure de manera diabòlica
ovos-skill-laugh.openvoiceos,Laugh.intent,fes un riure maligne
ovos-skill-laugh.openvoiceos,Laugh.intent,riu com si fossis el dolent d'una pel·li
ovos-skill-laugh.openvoiceos,Laugh.intent,riu com una bruixa!
ovos-skill-laugh.openvoiceos,Laugh.intent,vull un riure que m'esgarrifi
ovos-skill-laugh.openvoiceos,Laugh.intent,fes un riure que congeli la sang
ovos-skill-laugh.openvoiceos,Laugh.intent,fes risa de villana
ovos-skill-laugh.openvoiceos,Laugh.intent,a veure si saps fer un riure maligne
ovos-skill-laugh.openvoiceos,Laugh.intent,saps com riu un dolent de pel·lícula?
ovos-skill-laugh.openvoiceos,Laugh.intent,imita un riure malvat
ovos-skill-laugh.openvoiceos,Laugh.intent,pots riure com un dimoni?
ovos-skill-laugh.openvoiceos,Laugh.intent,riu com si tinguessis Satanàs entre dins dels teus cables de robot
ovos-skill-laugh.openvoiceos,Laugh.intent,ets capaç de riure com si fossis el diable principal de l'espectacle dels Pastorets?
ovos-skill-laugh.openvoiceos,Laugh.intent,riu com si fossis a l'infern de Dante
ovos-skill-laugh.openvoiceos,Laugh.intent,podries riure de la manera més diabòlica i tenebrosa del món?
ovos-skill-laugh.openvoiceos,Laugh.intent,riu de manera que facis por a qualsevol persona del món sencer
ocp,play,vull sentir Bon dia dels Pets
ocp,play,posa'm balades de rock
ocp,play,posa cançons tristes
ocp,play,vull música alegre
ocp,play,vull escoltar nadales
ocp,play,posa sons agradables d'ocells
ocp,play,podries reproduir l'últim concert de Cap d'Any?
ocp,play,posa'm música per concentrar-me
ocp,play,vull sentir el mar
ocp,play,reprodueix alguna cançó
ocp,play,vull que posis Lady Gaga
ocp,play,posa música alegre
ocp,play,"fes sonar Madonna, sisplau"
ocp,play,m'agradaria sentir algo relaxant
ocp,play,podries posar música de fons?
ocp,play,em poses música nova?
ocp,play,vull sentir alguna cosa que m'animi
ocp,play,posa'm alguna cosa de la Julieta
ocp,play,"em ve de gust escoltar Lluís Llach, si us plau."
ocp,play,reprodueix el nou senzill dels Tyets
ocp,play,podries posar-me alguna música de meditació?
ocp,play,"necessito sentir sons del mar, en tens algun?"
ocp,play,m'agradaria que posessis una cançó animada
ocp,play,"ovo, sardanes, si us plau."
ocp,play,destijo sentir la llista musical d'èxits
ocp,play,m'agradaria escoltar el nou disc sencer de Figa Flawas
ocp,play,pots fer sonar una cançó que sigui molt tranquil·la?
ocp,play,posa'm una cançó que sigui d'estil jazz
ocp,play,posa'm la nova cançó que ha tret la Rosalía
ocp,play,"si pots, em podries posar el nou ep de ferran palau?"
ocp,play,em podries posar cançons que em motivin per anar al gimnàs?
ocp,play,posa a tota castanya la cançó Olivia de l'artista The Tyets
ocp,play,posa una cançó que animi aquest dia de merda que porto a la feina
stop,stop,atura aquest soroll insofrible
stop,stop,para ja!
stop,stop,pausa!
stop,stop,atura la música
stop,stop,fes silenci
stop,stop,deixa de reproduir
stop,stop,pots parar la música?
stop,stop,podries pausar els sorolls?
stop,stop,stop!
stop,stop,para la cançó ara mateix
stop,stop,ja n'hi ha prou de cançons
stop,stop,posa la música en pausa
stop,stop,stop música
stop,stop,"silencia el que està sonant, sisplau"
stop,stop,talla el so
stop,stop,apaga la música ja
stop,stop,"per favor, para això!"
stop,stop,"t'ho demano si us plau, atura aquesta musicota"
stop,stop,estop!
stop,stop,"prou de cançons, gràcies!"
stop,stop,calla d'una vegada!
stop,stop,silenci!
stop,stop,"ja no em ve més de gust sentir música, para-la, si us plau."
stop,stop,"m'he cansat, para la música"
stop,stop,pots posar stop a la cançó que està sonant?
stop,stop,"siusplau, pots fer que deixi de sonar el que estic escoltant?"
stop,stop,silenci siusplau!
stop,stop,calla per favor!
stop,stop,para la música que m'està entrant una trucada important
stop,stop,atura açò que està sonant
stop,stop,pausa la música que no sento que diu ma mare des de la cuina
ovos-skill-news.openvoiceos,global_news.intent,què ha passat al mon?
ovos-skill-news.openvoiceos,global_news.intent,què està passant arreu?
ovos-skill-news.openvoiceos,global_news.intent,com s'ha llevat el mon?
ovos-skill-news.openvoiceos,global_news.intent,notícies mundials
ovos-skill-news.openvoiceos,global_news.intent,què va passar ahir a la resta del planeta?
ovos-skill-news.openvoiceos,global_news.intent,pots explicar-me les notícies del mon
ovos-skill-news.openvoiceos,global_news.intent,pots posar la BBC?
ovos-skill-news.openvoiceos,global_news.intent,m'agradaria escoltar les notícies en francès
ovos-skill-news.openvoiceos,global_news.intent,"posa les notícies internacionals, sisplau"
ovos-skill-news.openvoiceos,global_news.intent,què està passant als Estats Units ara mateix?
ovos-skill-news.openvoiceos,global_news.intent,quins canals internacionals em pots oferir?
ovos-skill-news.openvoiceos,global_news.intent,posa'm al dia de l'actualitat internacional
ovos-skill-news.openvoiceos,global_news.intent,quins embolics hi ha pel món avui?
ovos-skill-news.openvoiceos,global_news.intent,quina és l'actualitat mundial?
ovos-skill-news.openvoiceos,global_news.intent,com estan les notícies internacionals?
ovos-skill-news.openvoiceos,global_news.intent,vull sentir les novetats internacionals d'actualitat
ovos-skill-news.openvoiceos,global_news.intent,el món està fatal! pots posar-me les notícies internacionals
ovos-skill-news.openvoiceos,global_news.intent,posa'm la tele internacional porfa
ovos-skill-news.openvoiceos,global_news.intent,vull que posis una cadena internacional a la meva tele
ovos-skill-news.openvoiceos,global_news.intent,posa'm notícies que parlin de coses que han passat pel món
ovos-skill-news.openvoiceos,global_news.intent,sintonitza amb unes notícies que parlin a nivell global
ovos-skill-news.openvoiceos,news.intent,posa'm les notícies
ovos-skill-news.openvoiceos,news.intent,informa'm
ovos-skill-news.openvoiceos,news.intent,què està passant aquí?
ovos-skill-news.openvoiceos,news.intent,notícies locals
ovos-skill-news.openvoiceos,news.intent,què diu Catalunya informació?
ovos-skill-news.openvoiceos,news.intent,explica'm les notícies del dia
ovos-skill-news.openvoiceos,news.intent,vull que connectis amb Rac1
ovos-skill-news.openvoiceos,news.intent,"aviam de què parla l'Ustrell aquest matí, a Catalunya Ràdio?"
ovos-skill-news.openvoiceos,news.intent,vull saber en directe què està passant a Catalunya
ovos-skill-news.openvoiceos,news.intent,"pots posar-me catalunya informació, sisplai?"
ovos-skill-news.openvoiceos,news.intent,reprodueix les notícies en català
ovos-skill-news.openvoiceos,news.intent,què diuen al noticiari?
ovos-skill-news.openvoiceos,news.intent,posa'm al dia de l'actualitat
ovos-skill-news.openvoiceos,news.intent,reprodueix el canal d'actualitat
ovos-skill-news.openvoiceos,news.intent,fica la informació actual ja
ovos-skill-news.openvoiceos,news.intent,necessito saber les novetats de l'actualitat
ovos-skill-news.openvoiceos,news.intent,vull saber que estan dient a les notícies
ovos-skill-news.openvoiceos,news.intent,"m'agradaria posar-me al dia del que està passant, em pots connectar amb les notícies?"
ovos-skill-news.openvoiceos,news.intent,pots sintonitzar amb les notícies?
ovos-skill-news.openvoiceos,news.intent,fes que sonin les notícies a la meva habitació
ovos-skill-news.openvoiceos,news.intent,"si és tan amable, podria encendre les notícies, siusplau?"
